ticker,view_return,prior_return,conviction
HDFCBANK.NS,-0.1675,0.0658,0.5
BHARTIARTL.NS,0.3804,0.0445,0.5
APOLLOHOSP.NS,0.4889,0.0668,0.666
BIOCON.NS,0.2569,0.0625,0.5
JSWENERGY.NS,0.7388,0.1131,0.5
SUDARSCHEM.NS,-0.0193,0.0765,0.5
AEGISLOG.NS,0.0095,0.0978,0.5
KPRMILL.NS,0.2563,0.1164,0.5
GREENLAM.NS,-0.4697,0.1202,0.5
CAMLINFINE.NS,-0.9025,0.1442,0.5
SURYAROSNI.NS,-0.3119,0.1802,0.5
EIDPARRY.NS,-0.2297,0.1014,0.5
BANDHANBNK.NS,-0.0063,0.1185,0.5
ABREL.NS,1.3156,0.1364,0.5
INDIGO.NS,0.1493,0.0717,0.5
MARATHON.NS,-1.7253,0.1551,0.5
LTTS.NS,0.5494,0.0888,0.5
ASTERDM.NS,0.4394,0.0932,0.666
BSE.NS,1.0825,0.135,0.5
