model,ticker,horizon,pi_lower_offset,pi_upper_offset,empirical_coverage_90pct
ARIMAX,HDFCBANK.NS,1,-0.059055,0.069316,0.8571
VARX,HDFCBANK.NS,1,-0.048122,0.066932,0.8571
ARIMAX,HDFCBANK.NS,3,-0.059243,0.072265,0.8462
VARX,HDFCBANK.NS,3,-0.046301,0.086683,0.8462
ARIMAX,HDFCBANK.NS,6,-0.06311,0.069619,0.8261
VARX,HDFCBANK.NS,6,-0.051425,0.077002,0.8261
ARIMAX,HDFCBANK.NS,12,-0.074969,0.056542,0.8824
VARX,HDFCBANK.NS,12,-0.07652,0.084743,0.8824
ARIMAX,BHARTIARTL.NS,1,-0.083953,0.083686,0.8571
VARX,BHARTIARTL.NS,1,-0.075177,0.116577,0.8571
ARIMAX,BHARTIARTL.NS,3,-0.089677,0.072137,0.8462
VARX,BHARTIARTL.NS,3,-0.069356,0.114346,0.8462
ARIMAX,BHARTIARTL.NS,6,-0.099829,0.044472,0.8261
VARX,BHARTIARTL.NS,6,-0.076539,0.116959,0.8261
ARIMAX,BHARTIARTL.NS,12,-0.09037,0.060097,0.8824
VARX,BHARTIARTL.NS,12,-0.070155,0.107194,0.8824
ARIMAX,APOLLOHOSP.NS,1,-0.149273,0.098587,0.8571
VARX,APOLLOHOSP.NS,1,-0.123673,0.076557,0.8571
ARIMAX,APOLLOHOSP.NS,3,-0.124371,0.090844,0.8462
VARX,APOLLOHOSP.NS,3,-0.121008,0.062351,0.8462
ARIMAX,APOLLOHOSP.NS,6,-0.160112,0.075241,0.8261
VARX,APOLLOHOSP.NS,6,-0.099055,0.046892,0.8261
ARIMAX,APOLLOHOSP.NS,12,-0.129751,0.119432,0.8824
VARX,APOLLOHOSP.NS,12,-0.116877,0.0904,0.8824
ARIMAX,BIOCON.NS,1,-0.163191,0.150004,0.8571
VARX,BIOCON.NS,1,-0.153664,0.174472,0.8571
ARIMAX,BIOCON.NS,3,-0.200708,0.12556,0.8462
VARX,BIOCON.NS,3,-0.104419,0.155953,0.8462
ARIMAX,BIOCON.NS,6,-0.209996,0.09858,0.8261
VARX,BIOCON.NS,6,-0.10194,0.155593,0.8261
ARIMAX,BIOCON.NS,12,-0.173666,0.114305,0.8824
VARX,BIOCON.NS,12,-0.144454,0.165143,0.8824
ARIMAX,JSWENERGY.NS,1,-0.109614,0.308078,0.8571
VARX,JSWENERGY.NS,1,-0.104539,0.174733,0.8571
ARIMAX,JSWENERGY.NS,3,-0.139639,0.313428,0.8462
VARX,JSWENERGY.NS,3,-0.137662,0.188183,0.8462
ARIMAX,JSWENERGY.NS,6,-0.141465,0.248152,0.8261
VARX,JSWENERGY.NS,6,-0.139696,0.162196,0.8261
ARIMAX,JSWENERGY.NS,12,-0.16267,0.337192,0.8824
VARX,JSWENERGY.NS,12,-0.160897,0.207175,0.8824
ARIMAX,SUDARSCHEM.NS,1,-0.214667,0.333336,0.8571
VARX,SUDARSCHEM.NS,1,-0.169157,0.174763,0.8571
ARIMAX,SUDARSCHEM.NS,3,-0.205139,0.311176,0.8462
VARX,SUDARSCHEM.NS,3,-0.184166,0.158589,0.8462
ARIMAX,SUDARSCHEM.NS,6,-0.154387,0.149991,0.8261
VARX,SUDARSCHEM.NS,6,-0.194139,0.099482,0.8261
ARIMAX,SUDARSCHEM.NS,12,-0.13677,0.254737,0.8824
VARX,SUDARSCHEM.NS,12,-0.208672,0.081293,0.8824
ARIMAX,AEGISLOG.NS,1,-0.180063,0.30118,0.8571
VARX,AEGISLOG.NS,1,-0.207144,0.300175,0.8571
ARIMAX,AEGISLOG.NS,3,-0.180194,0.220184,0.8462
VARX,AEGISLOG.NS,3,-0.187002,0.137782,0.8462
ARIMAX,AEGISLOG.NS,6,-0.172264,0.211943,0.8261
VARX,AEGISLOG.NS,6,-0.173832,0.127945,0.8261
ARIMAX,AEGISLOG.NS,12,-0.187551,0.130239,0.8824
VARX,AEGISLOG.NS,12,-0.14359,0.189424,0.8824
ARIMAX,KPRMILL.NS,1,-0.121719,0.158644,0.8571
ARIMAX,KPRMILL.NS,3,-0.118139,0.155555,0.8462
ARIMAX,KPRMILL.NS,6,-0.105856,0.142571,0.8261
ARIMAX,KPRMILL.NS,12,-0.132046,0.166632,0.8824
ARIMAX,GREENLAM.NS,1,-0.127807,0.178673,0.8571
VARX,GREENLAM.NS,1,-0.191379,0.20019,0.8571
ARIMAX,GREENLAM.NS,3,-0.145492,0.135633,0.8462
VARX,GREENLAM.NS,3,-0.204335,0.120758,0.8462
ARIMAX,GREENLAM.NS,6,-0.148307,0.13071,0.8261
VARX,GREENLAM.NS,6,-0.212591,0.14642,0.8261
ARIMAX,GREENLAM.NS,12,-0.140288,0.17168,0.8824
VARX,GREENLAM.NS,12,-0.157721,0.145655,0.8824
ARIMAX,CAMLINFINE.NS,1,-0.223406,0.329275,0.8571
VARX,CAMLINFINE.NS,1,-0.299332,0.314339,0.8571
ARIMAX,CAMLINFINE.NS,3,-0.232479,0.376636,0.8462
VARX,CAMLINFINE.NS,3,-0.260213,0.284036,0.8462
ARIMAX,CAMLINFINE.NS,6,-0.297102,0.244718,0.8261
VARX,CAMLINFINE.NS,6,-0.367277,0.137211,0.8261
ARIMAX,CAMLINFINE.NS,12,-0.399365,0.39811,0.8824
VARX,CAMLINFINE.NS,12,-0.427136,0.292176,0.8824
ARIMAX,SURYAROSNI.NS,1,-0.179237,0.256016,0.8571
VARX,SURYAROSNI.NS,1,-0.223932,0.214434,0.8571
ARIMAX,SURYAROSNI.NS,3,-0.175732,0.244548,0.8462
VARX,SURYAROSNI.NS,3,-0.222089,0.148015,0.8462
ARIMAX,SURYAROSNI.NS,6,-0.177364,0.229619,0.8261
VARX,SURYAROSNI.NS,6,-0.23545,0.219133,0.8261
ARIMAX,SURYAROSNI.NS,12,-0.17463,0.258551,0.8824
VARX,SURYAROSNI.NS,12,-0.280122,0.156732,0.8824
ARIMAX,EIDPARRY.NS,1,-0.129678,0.147776,0.8571
VARX,EIDPARRY.NS,1,-0.207037,0.172196,0.8571
ARIMAX,EIDPARRY.NS,3,-0.128097,0.136625,0.8462
VARX,EIDPARRY.NS,3,-0.17502,0.144335,0.8462
ARIMAX,EIDPARRY.NS,6,-0.129868,0.109015,0.8261
VARX,EIDPARRY.NS,6,-0.168833,0.062734,0.8261
ARIMAX,EIDPARRY.NS,12,-0.1667,0.17571,0.8824
VARX,EIDPARRY.NS,12,-0.212898,0.130115,0.8824
ARIMAX,BANDHANBNK.NS,1,-0.077911,0.168227,0.8571
VARX,BANDHANBNK.NS,1,-0.072116,0.211935,0.8571
ARIMAX,BANDHANBNK.NS,3,-0.075252,0.160684,0.8462
VARX,BANDHANBNK.NS,3,-0.071212,0.216174,0.8462
ARIMAX,BANDHANBNK.NS,6,-0.110294,0.159282,0.8261
VARX,BANDHANBNK.NS,6,-0.113287,0.216538,0.8261
ARIMAX,BANDHANBNK.NS,12,-0.128841,0.246484,0.8824
VARX,BANDHANBNK.NS,12,-0.086419,0.280729,0.8824
ARIMAX,ABREL.NS,1,-0.159099,0.312882,0.8571
VARX,ABREL.NS,1,-0.237099,0.373324,0.8571
ARIMAX,ABREL.NS,3,-0.227922,0.283098,0.8462
VARX,ABREL.NS,3,-0.203777,0.400186,0.8462
ARIMAX,ABREL.NS,6,-0.260024,0.245561,0.8261
VARX,ABREL.NS,6,-0.197486,0.255968,0.8261
ARIMAX,ABREL.NS,12,-0.367158,0.194429,0.8824
VARX,ABREL.NS,12,-0.312953,0.216913,0.8824
ARIMAX,INDIGO.NS,1,-0.184896,0.110498,0.8571
VARX,INDIGO.NS,1,-0.196415,0.142145,0.8571
ARIMAX,INDIGO.NS,3,-0.178372,0.099265,0.8462
VARX,INDIGO.NS,3,-0.170364,0.10082,0.8462
ARIMAX,INDIGO.NS,6,-0.182363,0.097874,0.8261
VARX,INDIGO.NS,6,-0.170127,0.077628,0.8261
ARIMAX,INDIGO.NS,12,-0.190089,0.115554,0.8824
VARX,INDIGO.NS,12,-0.182944,0.129448,0.8824
ARIMAX,MARATHON.NS,1,-0.213689,0.279485,0.8571
VARX,MARATHON.NS,1,-0.222068,0.34709,0.8571
ARIMAX,MARATHON.NS,3,-0.216335,0.273075,0.8462
VARX,MARATHON.NS,3,-0.193845,0.384,0.8462
ARIMAX,MARATHON.NS,6,-0.225129,0.257067,0.8261
VARX,MARATHON.NS,6,-0.203204,0.304648,0.8261
ARIMAX,MARATHON.NS,12,-0.214441,0.326386,0.8824
VARX,MARATHON.NS,12,-0.125853,0.503961,0.8824
ARIMAX,LTTS.NS,1,-0.200032,0.132013,0.8571
VARX,LTTS.NS,1,-0.212929,0.142362,0.8571
ARIMAX,LTTS.NS,3,-0.173675,0.13319,0.8462
VARX,LTTS.NS,3,-0.146407,0.165337,0.8462
ARIMAX,LTTS.NS,6,-0.221194,0.091295,0.8261
VARX,LTTS.NS,6,-0.15602,0.1467,0.8261
ARIMAX,LTTS.NS,12,-0.226256,0.042809,0.8824
VARX,LTTS.NS,12,-0.191647,0.066468,0.8824
ARIMAX,ASTERDM.NS,1,-0.156442,0.142946,0.8571
VARX,ASTERDM.NS,1,-0.175562,0.132871,0.8571
ARIMAX,ASTERDM.NS,3,-0.147888,0.144611,0.8462
VARX,ASTERDM.NS,3,-0.141774,0.12824,0.8462
ARIMAX,ASTERDM.NS,6,-0.078753,0.146332,0.8261
VARX,ASTERDM.NS,6,-0.091708,0.129164,0.8261
ARIMAX,ASTERDM.NS,12,-0.119201,0.173945,0.8824
VARX,ASTERDM.NS,12,-0.154593,0.146433,0.8824
ARIMAX,BSE.NS,1,-0.238879,0.137087,0.8571
VARX,BSE.NS,1,-0.279767,0.130924,0.8571
ARIMAX,BSE.NS,3,-0.240342,0.155056,0.8462
VARX,BSE.NS,3,-0.263197,0.218395,0.8462
ARIMAX,BSE.NS,6,-0.272295,0.154369,0.8261
VARX,BSE.NS,6,-0.26372,0.228793,0.8261
ARIMAX,BSE.NS,12,-0.25089,0.148091,0.8824
VARX,BSE.NS,12,-0.23633,0.188756,0.8824
