ticker,shares,latest_price,current_value,weight
HDFCBANK.NS,26,774.6500244140625,20140.900634765625,0.02
BHARTIARTL.NS,11,1901.5999755859375,20917.599731445312,0.02
APOLLOHOSP.NS,23,8487.5,195212.5,0.2
BIOCON.NS,48,423.20001220703125,20313.6005859375,0.02
JSWENERGY.NS,176,568.9000244140625,100126.404296875,0.10019
SUDARSCHEM.NS,23,881.8499755859375,20282.549438476562,0.02
AEGISLOG.NS,19,1055.699951171875,20058.299072265625,0.02
KPRMILL.NS,18,1131.1500244140625,20360.700439453125,0.02
GREENLAM.NS,78,257.69000244140625,20099.820190429688,0.02
CAMLINFINE.NS,151,138.39999389648438,20898.39907836914,0.02
SURYAROSNI.NS,77,260.2900085449219,20042.330657958984,0.02
EIDPARRY.NS,28,710.2999877929688,19888.399658203125,0.02
BANDHANBNK.NS,97,207.1199951171875,20090.639526367188,0.02
ABREL.NS,154,1299.5999755859375,200138.39624023438,0.2
INDIGO.NS,4,4961.39990234375,19845.599609375,0.02
MARATHON.NS,50,401.1000061035156,20055.00030517578,0.02
LTTS.NS,7,3324.39990234375,23270.79931640625,0.02253
ASTERDM.NS,26,765.8499755859375,19912.099365234375,0.02
BSE.NS,50,3941.800048828125,197090.00244140625,0.19728
