model,ticker,horizon,mean_forecast,mean_ci90_lower,mean_ci90_upper,mean_ci90_width,mean_ci95_lower,mean_ci95_upper,mean_ci95_width
ARIMAX,ABREL.NS,1,-0.07791,-0.19601,0.04018,0.23619,-0.21863,0.06281,0.28144
ARIMAX,ABREL.NS,3,-0.04327,-0.18844,0.1019,0.29033,-0.21625,0.12971,0.34595
ARIMAX,ABREL.NS,6,-0.01771,-0.16515,0.12972,0.29487,-0.19339,0.15796,0.35136
ARIMAX,ABREL.NS,12,0.04217,-0.1099,0.19424,0.30414,-0.13903,0.22337,0.3624
ARIMAX,AEGISLOG.NS,1,0.01472,-0.12877,0.15821,0.28697,-0.15626,0.1857,0.34195
ARIMAX,AEGISLOG.NS,3,0.01602,-0.12726,0.15931,0.28657,-0.15471,0.18676,0.34146
ARIMAX,AEGISLOG.NS,6,0.02106,-0.12175,0.16387,0.28561,-0.14911,0.19122,0.34033
ARIMAX,AEGISLOG.NS,12,0.04051,-0.10009,0.1811,0.28118,-0.12702,0.20803,0.33505
ARIMAX,APOLLOHOSP.NS,1,0.02488,-0.0478,0.09756,0.14536,-0.06172,0.11148,0.17321
ARIMAX,APOLLOHOSP.NS,3,0.02817,-0.04477,0.10111,0.14588,-0.05874,0.11508,0.17383
ARIMAX,APOLLOHOSP.NS,6,0.03266,-0.04072,0.10604,0.14676,-0.05477,0.1201,0.17487
ARIMAX,APOLLOHOSP.NS,12,0.0416,-0.03284,0.11603,0.14887,-0.0471,0.13029,0.17739
ARIMAX,ASTERDM.NS,1,0.00716,-0.11756,0.13188,0.24944,-0.14146,0.15577,0.29723
ARIMAX,ASTERDM.NS,3,0.00589,-0.11878,0.13057,0.24934,-0.14266,0.15445,0.29711
ARIMAX,ASTERDM.NS,6,0.00262,-0.12192,0.12715,0.24907,-0.14577,0.15101,0.29678
ARIMAX,ASTERDM.NS,12,-0.00818,-0.13218,0.11583,0.24801,-0.15594,0.13959,0.29553
ARIMAX,BANDHANBNK.NS,1,-0.01532,-0.1555,0.12486,0.28036,-0.18236,0.15171,0.33407
ARIMAX,BANDHANBNK.NS,3,-0.01569,-0.15621,0.12483,0.28104,-0.18313,0.15175,0.33488
ARIMAX,BANDHANBNK.NS,6,-0.01683,-0.15784,0.12418,0.28202,-0.18485,0.1512,0.33605
ARIMAX,BANDHANBNK.NS,12,-0.02007,-0.16185,0.12171,0.28356,-0.18901,0.14887,0.33788
ARIMAX,BHARTIARTL.NS,1,0.01733,-0.04973,0.08439,0.13413,-0.06258,0.09724,0.15982
ARIMAX,BHARTIARTL.NS,3,0.0252,-0.05735,0.10774,0.16508,-0.07316,0.12355,0.19671
ARIMAX,BHARTIARTL.NS,6,0.02853,-0.05489,0.11195,0.16684,-0.07088,0.12793,0.19881
ARIMAX,BHARTIARTL.NS,12,0.03316,-0.05218,0.1185,0.17068,-0.06853,0.13485,0.20338
ARIMAX,BIOCON.NS,1,0.02856,-0.01777,0.07489,0.09265,-0.02664,0.08376,0.1104
ARIMAX,BIOCON.NS,3,0.03448,-0.01445,0.08341,0.09787,-0.02383,0.09279,0.11661
ARIMAX,BIOCON.NS,6,0.03938,-0.00953,0.08828,0.09781,-0.0189,0.09765,0.11655
ARIMAX,BIOCON.NS,12,0.03211,-0.01659,0.08082,0.09741,-0.02592,0.09015,0.11607
ARIMAX,BSE.NS,1,0.09163,-0.06689,0.25015,0.31704,-0.09726,0.28052,0.37778
ARIMAX,BSE.NS,3,0.09907,-0.0588,0.25694,0.31574,-0.08905,0.28718,0.37623
ARIMAX,BSE.NS,6,0.1086,-0.04824,0.26544,0.31368,-0.07828,0.29549,0.37377
ARIMAX,BSE.NS,12,0.11532,-0.03962,0.27026,0.30988,-0.0693,0.29994,0.36925
ARIMAX,CAMLINFINE.NS,1,-0.01459,-0.09798,0.0688,0.16678,-0.11395,0.08477,0.19873
ARIMAX,CAMLINFINE.NS,3,-0.013,-0.09614,0.07015,0.16629,-0.11207,0.08608,0.19815
ARIMAX,CAMLINFINE.NS,6,-0.00648,-0.08919,0.07622,0.16541,-0.10503,0.09207,0.1971
ARIMAX,CAMLINFINE.NS,12,0.02851,-0.05313,0.11015,0.16328,-0.06877,0.12579,0.19456
ARIMAX,EIDPARRY.NS,1,0.00996,-0.1254,0.14531,0.2707,-0.15133,0.17124,0.32256
ARIMAX,EIDPARRY.NS,3,0.01088,-0.12425,0.14601,0.27026,-0.15014,0.1719,0.32204
ARIMAX,EIDPARRY.NS,6,0.01239,-0.12233,0.14711,0.26944,-0.14814,0.17292,0.32105
ARIMAX,EIDPARRY.NS,12,0.01517,-0.11863,0.14896,0.26759,-0.14426,0.17459,0.31886
ARIMAX,GREENLAM.NS,1,-0.01396,-0.0934,0.06549,0.15889,-0.10862,0.08071,0.18932
ARIMAX,GREENLAM.NS,3,-0.01376,-0.09289,0.06536,0.15825,-0.10805,0.08052,0.18857
ARIMAX,GREENLAM.NS,6,-0.01383,-0.09234,0.06469,0.15703,-0.10738,0.07973,0.18711
ARIMAX,GREENLAM.NS,12,-0.01503,-0.09186,0.06179,0.15365,-0.10658,0.07651,0.18309
ARIMAX,HDFCBANK.NS,1,-0.00421,-0.07941,0.071,0.15042,-0.09382,0.08541,0.17923
ARIMAX,HDFCBANK.NS,3,-0.00439,-0.07973,0.07094,0.15067,-0.09416,0.08538,0.17953
ARIMAX,HDFCBANK.NS,6,-0.0046,-0.08019,0.07099,0.15118,-0.09467,0.08547,0.18014
ARIMAX,HDFCBANK.NS,12,-0.00475,-0.08116,0.07165,0.15281,-0.0958,0.08629,0.18208
ARIMAX,INDIGO.NS,1,0.01418,-0.09955,0.12791,0.22746,-0.12133,0.1497,0.27103
ARIMAX,INDIGO.NS,3,0.01371,-0.09958,0.12699,0.22658,-0.12129,0.1487,0.26998
ARIMAX,INDIGO.NS,6,0.01363,-0.09922,0.12648,0.2257,-0.12084,0.14809,0.26893
ARIMAX,INDIGO.NS,12,0.01794,-0.09552,0.1314,0.22692,-0.11726,0.15314,0.27039
ARIMAX,JSWENERGY.NS,1,-0.03922,-0.19929,0.12084,0.32014,-0.22996,0.15151,0.38146
ARIMAX,JSWENERGY.NS,3,-0.04761,-0.20811,0.1129,0.321,-0.23886,0.14364,0.3825
ARIMAX,JSWENERGY.NS,6,-0.05746,-0.21867,0.10375,0.32242,-0.24956,0.13463,0.38419
ARIMAX,JSWENERGY.NS,12,-0.04638,-0.2092,0.11644,0.32564,-0.24039,0.14763,0.38803
