ticker,horizon,model,pw_weight
HDFCBANK.NS,1,ARIMAX,0.5362
HDFCBANK.NS,1,VARX,0.4638
HDFCBANK.NS,3,ARIMAX,0.5166
HDFCBANK.NS,3,VARX,0.4834
HDFCBANK.NS,6,ARIMAX,0.5047
HDFCBANK.NS,6,VARX,0.4953
HDFCBANK.NS,12,ARIMAX,0.5314
HDFCBANK.NS,12,VARX,0.4686
BHARTIARTL.NS,1,ARIMAX,0.5155
BHARTIARTL.NS,1,VARX,0.4845
BHARTIARTL.NS,3,ARIMAX,0.5463
BHARTIARTL.NS,3,VARX,0.4537
BHARTIARTL.NS,6,ARIMAX,0.5434
BHARTIARTL.NS,6,VARX,0.4566
BHARTIARTL.NS,12,ARIMAX,0.4918
BHARTIARTL.NS,12,VARX,0.5082
APOLLOHOSP.NS,1,ARIMAX,0.4383
APOLLOHOSP.NS,1,VARX,0.5617
APOLLOHOSP.NS,3,ARIMAX,0.4592
APOLLOHOSP.NS,3,VARX,0.5408
APOLLOHOSP.NS,6,ARIMAX,0.4404
APOLLOHOSP.NS,6,VARX,0.5596
APOLLOHOSP.NS,12,ARIMAX,0.448
APOLLOHOSP.NS,12,VARX,0.552
BIOCON.NS,1,ARIMAX,0.5315
BIOCON.NS,1,VARX,0.4685
BIOCON.NS,3,ARIMAX,0.475
BIOCON.NS,3,VARX,0.525
BIOCON.NS,6,ARIMAX,0.4718
BIOCON.NS,6,VARX,0.5282
BIOCON.NS,12,ARIMAX,0.4826
BIOCON.NS,12,VARX,0.5174
JSWENERGY.NS,1,ARIMAX,0.4151
JSWENERGY.NS,1,VARX,0.5849
JSWENERGY.NS,3,ARIMAX,0.4124
JSWENERGY.NS,3,VARX,0.5876
JSWENERGY.NS,6,ARIMAX,0.4127
JSWENERGY.NS,6,VARX,0.5873
JSWENERGY.NS,12,ARIMAX,0.4057
JSWENERGY.NS,12,VARX,0.5943
SUDARSCHEM.NS,1,ARIMAX,0.3764
SUDARSCHEM.NS,1,VARX,0.6236
SUDARSCHEM.NS,3,ARIMAX,0.4046
SUDARSCHEM.NS,3,VARX,0.5954
SUDARSCHEM.NS,6,ARIMAX,0.4641
SUDARSCHEM.NS,6,VARX,0.5359
SUDARSCHEM.NS,12,ARIMAX,0.4477
SUDARSCHEM.NS,12,VARX,0.5523
AEGISLOG.NS,1,ARIMAX,0.5165
AEGISLOG.NS,1,VARX,0.4835
AEGISLOG.NS,3,ARIMAX,0.5058
AEGISLOG.NS,3,VARX,0.4942
AEGISLOG.NS,6,ARIMAX,0.4758
AEGISLOG.NS,6,VARX,0.5242
AEGISLOG.NS,12,ARIMAX,0.5377
AEGISLOG.NS,12,VARX,0.4623
GREENLAM.NS,1,ARIMAX,0.5403
GREENLAM.NS,1,VARX,0.4597
GREENLAM.NS,3,ARIMAX,0.5146
GREENLAM.NS,3,VARX,0.4854
GREENLAM.NS,6,ARIMAX,0.5233
GREENLAM.NS,6,VARX,0.4767
GREENLAM.NS,12,ARIMAX,0.5052
GREENLAM.NS,12,VARX,0.4948
CAMLINFINE.NS,1,ARIMAX,0.5269
CAMLINFINE.NS,1,VARX,0.4731
CAMLINFINE.NS,3,ARIMAX,0.5113
CAMLINFINE.NS,3,VARX,0.4887
CAMLINFINE.NS,6,ARIMAX,0.4941
CAMLINFINE.NS,6,VARX,0.5059
CAMLINFINE.NS,12,ARIMAX,0.4859
CAMLINFINE.NS,12,VARX,0.5141
SURYAROSNI.NS,1,ARIMAX,0.5099
SURYAROSNI.NS,1,VARX,0.4901
SURYAROSNI.NS,3,ARIMAX,0.5093
SURYAROSNI.NS,3,VARX,0.4907
SURYAROSNI.NS,6,ARIMAX,0.5589
SURYAROSNI.NS,6,VARX,0.4411
SURYAROSNI.NS,12,ARIMAX,0.5165
SURYAROSNI.NS,12,VARX,0.4835
EIDPARRY.NS,1,ARIMAX,0.5629
EIDPARRY.NS,1,VARX,0.4371
EIDPARRY.NS,3,ARIMAX,0.5276
EIDPARRY.NS,3,VARX,0.4724
EIDPARRY.NS,6,ARIMAX,0.5182
EIDPARRY.NS,6,VARX,0.4818
EIDPARRY.NS,12,ARIMAX,0.5073
