model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
ARIMAX,HDFCBANK.NS,1,0,0.0,29,-169.32,-142.09,0.049997,0.038486,0.014251,292.861437,126.109799,0.586207,
ARIMAX,HDFCBANK.NS,3,0,0.0,27,-169.32,-142.09,0.060905,0.044469,0.014018,172.726231,127.065705,0.62963,
ARIMAX,HDFCBANK.NS,6,0,0.0,24,-169.32,-142.09,0.06811,0.044233,0.019879,133.819345,125.004339,0.625,
ARIMAX,HDFCBANK.NS,12,0,0.0,18,-169.32,-142.09,0.062916,0.047101,0.018791,409.114414,143.586643,0.611111,
ARIMAX,BHARTIARTL.NS,1,0,2.0,29,-184.59,-151.09,0.053475,0.042384,0.018086,146.285343,118.355239,0.655172,
ARIMAX,BHARTIARTL.NS,3,0,2.0,27,-184.59,-151.09,0.051118,0.043405,0.016626,269.426942,130.622578,0.592593,
ARIMAX,BHARTIARTL.NS,6,0,2.0,24,-184.59,-151.09,0.065647,0.056174,0.025056,296.459744,145.114698,0.5,
ARIMAX,BHARTIARTL.NS,12,0,2.0,18,-184.59,-151.09,0.069085,0.057248,0.031917,274.037932,140.067305,0.555556,
ARIMAX,APOLLOHOSP.NS,1,0,0.0,29,-170.99,-143.77,0.026254,0.0197,0.000329,49.013601,65.120271,0.827586,
ARIMAX,APOLLOHOSP.NS,3,0,0.0,27,-170.99,-143.77,0.075623,0.063262,-0.002616,157.459864,154.684081,0.407407,
ARIMAX,APOLLOHOSP.NS,6,0,0.0,24,-170.99,-143.77,0.078842,0.069298,-0.006726,167.770947,169.724545,0.291667,
ARIMAX,APOLLOHOSP.NS,12,0,0.0,18,-170.99,-143.77,0.065057,0.047606,-0.000623,117.65981,111.610746,0.611111,
ARIMAX,BIOCON.NS,1,1,0.0,29,-229.07,-197.66,0.074121,0.041265,-0.000235,371.044636,77.307357,0.862069,
ARIMAX,BIOCON.NS,3,1,0.0,27,-229.07,-197.66,0.120537,0.100941,-0.005523,1645.991262,152.493154,0.518519,
ARIMAX,BIOCON.NS,6,1,0.0,24,-229.07,-197.66,0.11198,0.094209,0.010073,561.255977,152.494533,0.541667,
ARIMAX,BIOCON.NS,12,1,0.0,18,-229.07,-197.66,0.089293,0.070598,0.019845,292.367755,120.454946,0.555556,
ARIMAX,JSWENERGY.NS,1,0,0.0,29,-78.75,-51.52,0.087673,0.069134,-0.00538,183.868431,118.538274,0.586207,
ARIMAX,JSWENERGY.NS,3,0,0.0,27,-78.75,-51.52,0.15208,0.112179,-0.004108,263.94182,155.220952,0.37037,
ARIMAX,JSWENERGY.NS,6,0,0.0,24,-78.75,-51.52,0.150238,0.114184,0.016176,234.756129,159.03552,0.375,
ARIMAX,JSWENERGY.NS,12,0,0.0,18,-78.75,-51.52,0.140001,0.110495,0.023904,339.318689,154.003379,0.5,
ARIMAX,SUDARSCHEM.NS,1,0,0.0,29,-180.5,-153.27,0.057134,0.048985,-0.018812,79.777731,77.959542,0.896552,
ARIMAX,SUDARSCHEM.NS,3,0,0.0,27,-180.5,-153.27,0.146011,0.11597,-0.019189,170.45195,121.127662,0.666667,
ARIMAX,SUDARSCHEM.NS,6,0,0.0,24,-180.5,-153.27,0.181216,0.14934,-0.002744,194.954799,165.526609,0.416667,
ARIMAX,SUDARSCHEM.NS,12,0,0.0,18,-180.5,-153.27,0.131338,0.108225,0.043746,141.615614,119.267293,0.666667,
ARIMAX,AEGISLOG.NS,1,0,0.0,29,-108.46,-81.23,0.127689,0.100528,0.021941,188.665021,126.900066,0.62069,
ARIMAX,AEGISLOG.NS,3,0,0.0,27,-108.46,-81.23,0.157264,0.122261,0.02599,214.798424,135.512412,0.592593,
ARIMAX,AEGISLOG.NS,6,0,0.0,24,-108.46,-81.23,0.161671,0.138707,0.056988,270.756823,163.16376,0.333333,
ARIMAX,AEGISLOG.NS,12,0,0.0,18,-108.46,-81.23,0.171642,0.147553,0.065047,289.596813,162.108383,0.333333,
ARIMAX,KPRMILL.NS,1,0,1.0,29,-171.19,-139.77,0.054487,0.04493,-0.001848,199.499863,97.611501,0.758621,
ARIMAX,KPRMILL.NS,3,0,1.0,27,-171.19,-139.77,0.113462,0.098926,-0.004264,724.254838,153.750391,0.444444,
ARIMAX,KPRMILL.NS,6,0,1.0,24,-171.19,-139.77,0.114812,0.091811,-0.001549,571.776195,146.424134,0.5,
ARIMAX,KPRMILL.NS,12,0,1.0,18,-171.19,-139.77,0.119693,0.09191,0.012649,251.749836,137.050917,0.444444,
ARIMAX,GREENLAM.NS,1,0,0.0,29,-170.52,-141.2,0.067164,0.050586,0.005356,164.777981,101.820038,0.793103,
ARIMAX,GREENLAM.NS,3,0,0.0,27,-170.52,-141.2,0.112422,0.093773,0.002494,293.157481,150.975001,0.481481,
ARIMAX,GREENLAM.NS,6,0,0.0,24,-170.52,-141.2,0.130313,0.106445,0.008515,498.069711,154.286395,0.541667,
ARIMAX,GREENLAM.NS,12,0,0.0,18,-170.52,-141.2,0.091671,0.073665,0.015791,708.34396,121.919636,0.722222,
ARIMAX,CAMLINFINE.NS,1,0,0.0,29,-164.69,-135.37,0.104436,0.066063,0.037035,143.906564,61.893481,0.931034,
ARIMAX,CAMLINFINE.NS,3,0,0.0,27,-164.69,-135.37,0.224061,0.190919,0.020203,682.839479,155.714759,0.444444,
ARIMAX,CAMLINFINE.NS,6,0,0.0,24,-164.69,-135.37,0.250153,0.202918,0.018884,791.95667,159.43291,0.416667,
ARIMAX,CAMLINFINE.NS,12,0,0.0,18,-164.69,-135.37,0.197668,0.170313,0.059518,669.372701,135.793562,0.611111,
ARIMAX,SURYAROSNI.NS,1,0,0.0,29,-88.61,-59.29,0.111812,0.092013,0.040669,86.030119,136.376652,0.517241,
ARIMAX,SURYAROSNI.NS,3,0,0.0,27,-88.61,-59.29,0.132812,0.111635,0.025481,113.45382,153.052498,0.481481,
ARIMAX,SURYAROSNI.NS,6,0,0.0,24,-88.61,-59.29,0.137198,0.114027,0.030127,116.679869,158.986808,0.5,
ARIMAX,SURYAROSNI.NS,12,0,0.0,18,-88.61,-59.29,0.127311,0.102847,0.033151,101.443009,142.539057,0.5,
ARIMAX,EIDPARRY.NS,1,0,0.0,29,-102.12,-72.8,0.092328,0.078236,0.008095,96.21776,147.750014,0.586207,
ARIMAX,EIDPARRY.NS,3,0,0.0,27,-102.12,-72.8,0.102369,0.090078,0.002761,123.155124,171.318218,0.518519,
ARIMAX,EIDPARRY.NS,6,0,0.0,24,-102.12,-72.8,0.09985,0.083247,0.016012,97.528549,164.300763,0.416667,
ARIMAX,EIDPARRY.NS,12,0,0.0,18,-102.12,-72.8,0.104356,0.092618,0.028232,125.825303,162.917419,0.611111,
ARIMAX,BANDHANBNK.NS,1,0,0.0,29,-95.37,-66.05,0.075732,0.063794,0.013893,955712863.738995,145.611555,0.482759,
ARIMAX,BANDHANBNK.NS,3,0,0.0,27,-95.37,-66.05,0.126311,0.09083,0.006885,517261825.076951,151.623665,0.481481,
ARIMAX,BANDHANBNK.NS,6,0,0.0,24,-95.37,-66.05,0.113012,0.084571,0.002405,195.168897,161.069958,0.416667,
ARIMAX,BANDHANBNK.NS,12,0,0.0,18,-95.37,-66.05,0.132335,0.097626,-0.019757,376.578699,164.999358,0.388889,
ARIMAX,ABREL.NS,1,0,2.0,29,-118.84,-85.33,0.09694,0.086648,0.051767,299.362173,110.014506,0.758621,
ARIMAX,ABREL.NS,3,0,2.0,27,-118.84,-85.33,0.131952,0.109156,0.058376,295.417703,119.77302,0.703704,
ARIMAX,ABREL.NS,6,0,2.0,24,-118.84,-85.33,0.186214,0.168176,0.070573,414.004775,173.20786,0.375,
ARIMAX,ABREL.NS,12,0,2.0,18,-118.84,-85.33,0.182085,0.145746,0.089364,173.36345,128.622295,0.555556,
ARIMAX,INDIGO.NS,1,0,0.0,29,-123.99,-98.86,0.08012,0.060833,0.01354,170.709525,109.61304,0.758621,
ARIMAX,INDIGO.NS,3,0,0.0,27,-123.99,-98.86,0.104148,0.081567,0.01718,218.811887,138.99995,0.518519,
ARIMAX,INDIGO.NS,6,0,0.0,24,-123.99,-98.86,0.108618,0.083621,0.02489,248.81358,135.476259,0.583333,
ARIMAX,INDIGO.NS,12,0,0.0,18,-123.99,-98.86,0.088836,0.068034,0.02139,193.876107,126.318825,0.666667,
ARIMAX,MARATHON.NS,1,0,0.0,29,-42.96,-19.92,0.117243,0.089156,0.009708,106.313221,109.083517,0.758621,
ARIMAX,MARATHON.NS,3,0,0.0,27,-42.96,-19.92,0.179139,0.152447,0.022627,303.776473,164.752166,0.592593,
ARIMAX,MARATHON.NS,6,0,0.0,24,-42.96,-19.92,0.181808,0.143644,0.028399,443.734038,158.198538,0.5,
ARIMAX,MARATHON.NS,12,0,0.0,18,-42.96,-19.92,0.190283,0.158019,0.040065,203.37637,162.583538,0.388889,
ARIMAX,LTTS.NS,1,0,0.0,29,-159.02,-129.7,0.053908,0.045384,0.013381,131.382178,106.972514,0.724138,
ARIMAX,LTTS.NS,3,0,0.0,27,-159.02,-129.7,0.125886,0.101367,0.012179,198.72862,156.449701,0.444444,
ARIMAX,LTTS.NS,6,0,0.0,24,-159.02,-129.7,0.101302,0.084859,0.018508,203.234307,144.589826,0.625,
ARIMAX,LTTS.NS,12,0,0.0,18,-159.02,-129.7,0.101258,0.082125,0.022253,334.62306,152.097934,0.555556,
ARIMAX,ASTERDM.NS,1,0,0.0,29,-112.61,-83.29,0.082498,0.064876,-0.015746,190.644307,126.645538,0.655172,
ARIMAX,ASTERDM.NS,3,0,0.0,27,-112.61,-83.29,0.091211,0.070594,-0.017615,142.106358,135.960287,0.481481,
ARIMAX,ASTERDM.NS,6,0,0.0,24,-112.61,-83.29,0.089021,0.077258,-0.018531,386.018021,155.67272,0.5,
ARIMAX,ASTERDM.NS,12,0,0.0,18,-112.61,-83.29,0.081038,0.060372,-0.004057,115.147788,113.155118,0.722222,
ARIMAX,BSE.NS,1,0,0.0,29,-89.87,-62.64,0.135154,0.112717,0.052761,359.869193,113.135267,0.689655,
ARIMAX,BSE.NS,3,0,0.0,27,-89.87,-62.64,0.169979,0.146835,0.057906,380.063351,142.52652,0.481481,
ARIMAX,BSE.NS,6,0,0.0,24,-89.87,-62.64,0.188098,0.13534,0.058601,279.565771,131.156366,0.541667,
ARIMAX,BSE.NS,12,0,0.0,18,-89.87,-62.64,0.224649,0.173649,0.097486,397.622704,139.585382,0.444444,
VARX,HDFCBANK.NS,1,1,,29,-19.07,-16.25,0.060934,0.050106,-0.003781,339.267664,145.781491,0.517241,VARX_group_1
VARX,HDFCBANK.NS,3,1,,27,-19.07,-16.25,0.072525,0.058604,-0.008579,399.659094,162.819745,0.518519,VARX_group_1
VARX,HDFCBANK.NS,6,1,,24,-19.07,-16.25,0.07572,0.056917,-0.000597,378.090507,150.021802,0.458333,VARX_group_1
VARX,HDFCBANK.NS,12,1,,18,-19.07,-16.25,0.063709,0.051032,-0.001211,672.320696,138.684968,0.611111,VARX_group_1
VARX,BIOCON.NS,1,1,,29,-19.07,-16.25,0.072166,0.055399,-0.032711,168.602135,122.44378,0.689655,VARX_group_1
VARX,BIOCON.NS,3,1,,27,-19.07,-16.25,0.116405,0.092172,-0.037226,984.088549,158.491884,0.481481,VARX_group_1
VARX,BIOCON.NS,6,1,,24,-19.07,-16.25,0.119495,0.089502,-0.026095,423.577343,155.243763,0.416667,VARX_group_1
VARX,BIOCON.NS,12,1,,18,-19.07,-16.25,0.088182,0.075151,-0.017439,171.047785,143.938419,0.666667,VARX_group_1
VARX,INDIGO.NS,1,1,,29,-19.07,-16.25,0.089949,0.062232,-0.001028,182.461495,103.048885,0.793103,VARX_group_1
VARX,INDIGO.NS,3,1,,27,-19.07,-16.25,0.125581,0.101109,-0.000909,275.478176,156.509166,0.407407,VARX_group_1
VARX,INDIGO.NS,6,1,,24,-19.07,-16.25,0.126426,0.097208,0.013747,345.233532,146.559438,0.5,VARX_group_1
VARX,INDIGO.NS,12,1,,18,-19.07,-16.25,0.097394,0.081781,0.013748,245.555596,126.521305,0.722222,VARX_group_1
VARX,MARATHON.NS,1,1,,29,-19.07,-16.25,0.125227,0.096232,-0.01626,138.469781,123.653381,0.655172,VARX_group_1
VARX,MARATHON.NS,3,1,,27,-19.07,-16.25,0.198451,0.169601,-0.012032,364.332648,166.482178,0.481481,VARX_group_1
VARX,MARATHON.NS,6,1,,24,-19.07,-16.25,0.21156,0.160929,-0.009604,384.920106,173.242797,0.375,VARX_group_1
VARX,MARATHON.NS,12,1,,18,-19.07,-16.25,0.189552,0.158387,-0.002174,224.096066,163.568567,0.5,VARX_group_1
VARX,BHARTIARTL.NS,1,3,,29,-23.42,-17.68,0.077324,0.058455,-0.037467,182.718499,125.178353,0.62069,VARX_group_2
VARX,BHARTIARTL.NS,3,3,,27,-23.42,-17.68,0.087129,0.067148,-0.039043,217.733275,134.591064,0.592593,VARX_group_2
VARX,BHARTIARTL.NS,6,3,,24,-23.42,-17.68,0.093038,0.077259,-0.036702,306.575713,169.623641,0.333333,VARX_group_2
VARX,BHARTIARTL.NS,12,3,,18,-23.42,-17.68,0.087668,0.073012,-0.050112,423.593042,154.689935,0.5,VARX_group_2
VARX,LTTS.NS,1,3,,29,-23.42,-17.68,0.091513,0.076378,0.029917,247.122519,132.088865,0.586207,VARX_group_2
VARX,LTTS.NS,3,3,,27,-23.42,-17.68,0.112786,0.095449,0.028894,287.400113,141.196808,0.555556,VARX_group_2
VARX,LTTS.NS,6,3,,24,-23.42,-17.68,0.12134,0.102033,0.031692,308.164715,153.902627,0.416667,VARX_group_2
VARX,LTTS.NS,12,3,,18,-23.42,-17.68,0.144418,0.124866,0.031001,436.139275,182.909485,0.333333,VARX_group_2
VARX,SURYAROSNI.NS,1,3,,29,-23.42,-17.68,0.232508,0.18936,0.147215,226.215527,147.886958,0.448276,VARX_group_2
