model,ticker,horizon,DA,IC,IC_pval,RMSE,MAE,n_obs
ARIMAX,HDFCBANK.NS,1,0.5,0.0811,0.6817,0.055681,0.042567,28
VARX,HDFCBANK.NS,1,0.3571,-0.1321,0.5029,0.064452,0.049119,28
ARIMAX,HDFCBANK.NS,3,0.5385,0.0305,0.8826,0.056904,0.042743,26
VARX,HDFCBANK.NS,3,0.3846,-0.0478,0.8168,0.06118,0.048935,26
ARIMAX,HDFCBANK.NS,6,0.4783,-0.1959,0.3703,0.058202,0.044902,23
VARX,HDFCBANK.NS,6,0.3913,-0.0037,0.9868,0.059571,0.047849,23
ARIMAX,HDFCBANK.NS,12,0.7647,0.2297,0.3752,0.059815,0.043038,17
VARX,HDFCBANK.NS,12,0.4118,-0.4236,0.0902,0.068527,0.056593,17
ARIMAX,BHARTIARTL.NS,1,0.6071,0.0892,0.6516,0.053897,0.043445,28
VARX,BHARTIARTL.NS,1,0.6071,-0.0067,0.9728,0.062204,0.046913,28
ARIMAX,BHARTIARTL.NS,3,0.6538,0.1276,0.5345,0.053369,0.043144,26
VARX,BHARTIARTL.NS,3,0.6538,0.0917,0.6561,0.057807,0.04601,26
ARIMAX,BHARTIARTL.NS,6,0.5217,0.2046,0.3489,0.054864,0.044552,23
VARX,BHARTIARTL.NS,6,0.5217,0.1641,0.4544,0.058402,0.050535,23
ARIMAX,BHARTIARTL.NS,12,0.5294,0.0521,0.8425,0.062252,0.057222,17
VARX,BHARTIARTL.NS,12,0.5294,0.1572,0.5469,0.062126,0.053853,17
ARIMAX,APOLLOHOSP.NS,1,0.3571,-0.1861,0.343,0.081348,0.069647,28
VARX,APOLLOHOSP.NS,1,0.6071,0.0599,0.7621,0.065014,0.055251,28
ARIMAX,APOLLOHOSP.NS,3,0.4231,-0.0063,0.9756,0.075323,0.063511,26
VARX,APOLLOHOSP.NS,3,0.5,-0.298,0.1393,0.05964,0.049909,26
ARIMAX,APOLLOHOSP.NS,6,0.6522,0.1007,0.6475,0.074633,0.055929,23
VARX,APOLLOHOSP.NS,6,0.5652,0.1274,0.5624,0.055692,0.044207,23
ARIMAX,APOLLOHOSP.NS,12,0.4118,-0.2291,0.3765,0.092852,0.077442,17
VARX,APOLLOHOSP.NS,12,0.5882,-0.2119,0.4142,0.061488,0.051934,17
ARIMAX,BIOCON.NS,1,0.5357,0.0432,0.8274,0.098243,0.078611,28
VARX,BIOCON.NS,1,0.4643,-0.2094,0.2849,0.112556,0.087791,28
ARIMAX,BIOCON.NS,3,0.4615,-0.1872,0.3597,0.107977,0.089858,26
VARX,BIOCON.NS,3,0.3846,-0.2044,0.3166,0.098726,0.081837,26
ARIMAX,BIOCON.NS,6,0.5652,0.1038,0.6373,0.099295,0.083489,23
VARX,BIOCON.NS,6,0.5652,0.1142,0.6038,0.089415,0.070783,23
ARIMAX,BIOCON.NS,12,0.5294,-0.0711,0.7862,0.105084,0.079382,17
VARX,BIOCON.NS,12,0.4118,-0.1408,0.59,0.099454,0.08367,17
ARIMAX,JSWENERGY.NS,1,0.4643,0.0574,0.7717,0.154303,0.119327,28
VARX,JSWENERGY.NS,1,0.4286,0.0655,0.7406,0.102511,0.082702,28
ARIMAX,JSWENERGY.NS,3,0.4231,-0.1139,0.5797,0.164858,0.132402,26
VARX,JSWENERGY.NS,3,0.3462,-0.0781,0.7044,0.107269,0.092285,26
ARIMAX,JSWENERGY.NS,6,0.4783,-0.0829,0.707,0.163956,0.135952,23
VARX,JSWENERGY.NS,6,0.5217,-0.0916,0.6776,0.107408,0.086451,23
ARIMAX,JSWENERGY.NS,12,0.3529,-0.2738,0.2877,0.183489,0.140402,17
VARX,JSWENERGY.NS,12,0.3529,-0.2472,0.3388,0.112863,0.092081,17
ARIMAX,SUDARSCHEM.NS,1,0.1786,-0.5283,0.0039,0.181889,0.157199,28
VARX,SUDARSCHEM.NS,1,0.3571,-0.4076,0.0313,0.123596,0.103932,28
ARIMAX,SUDARSCHEM.NS,3,0.3462,-0.1611,0.4316,0.159261,0.132091,26
VARX,SUDARSCHEM.NS,3,0.5,-0.1454,0.4785,0.108106,0.094117,26
ARIMAX,SUDARSCHEM.NS,6,0.6087,0.3375,0.1153,0.124358,0.110599,23
VARX,SUDARSCHEM.NS,6,0.6957,0.3736,0.0791,0.102072,0.087508,23
